"WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_003","WMS_53_WATER_003","WMS_53_WATER_003"
389.96,281862.03,269927.92,389.96,281862.03,259078.72,389.96,281862.03,252352.22,389.96,281862.03,265805.22,389.96,60103.7,14476.11,389.96,60103.7,8936.21,389.96,60103.7,3744.3,389.96,60103.7,37860.6,389.96,17224,246,389.96,17224,234,389.96,17224,264,389.96,17224,9246
391.68,306570.59,293678.46,391.68,306570.59,281004.83,391.68,306570.59,274668.02,391.68,306570.59,288871.22,391.68,65110.8,16763.39,391.68,65110.8,10164.89,391.68,65110.8,4117.99,391.68,65110.8,40812.2,391.68,18704,268,391.68,18704,254,391.68,18704,287,391.68,18704,9970
393.39,323807.21,311877.47,393.39,323807.21,298030.45,393.39,323807.21,290787.4,393.39,323807.21,305912.6,393.39,69912.85,19111.5,393.39,69912.85,11392.35,393.39,69912.85,4503.4,393.39,69912.85,43651.48,393.39,20656,291,393.39,20656,278,393.39,20656,314,393.39,20656,10906
395.1,362008,346729.82,395.1,362008,332937.01,395.1,362008,324449.14,395.1,362008,341849.29,395.1,76855.84,21981.51,395.1,76855.84,12904.21,395.1,76855.84,4988.88,395.1,76855.84,47756.82,395.1,23184,324,395.1,23184,307,395.1,23184,349,395.1,23184,12194
396.81,389187.06,373276.89,396.81,389187.06,358182.64,396.81,389187.06,349615.63,396.81,389187.06,368381.46,396.81,84212.95,25258.71,396.81,84212.95,14609.16,396.81,84212.95,5538.28,396.81,84212.95,52180.2,396.81,26072,363,396.81,26072,347,396.81,26072,389,396.81,26072,13632
398.52,438350.5,420808.41,398.52,438350.5,402459.79,398.52,438350.5,392983.03,398.52,438350.5,414356.15,398.52,93118.95,29183.15,398.52,93118.95,16557.28,398.52,93118.95,6186.93,398.52,93118.95,57534.66,398.52,29624,409,398.52,29624,388,398.52,29624,437,398.52,29624,15418
400.23,466853.83,446792.95,400.23,466853.83,428874.49,400.23,466853.83,417188.53,400.23,466853.83,440949.97,400.23,99779.44,32765.61,400.23,99779.44,18211.35,400.23,99779.44,6656.29,400.23,99779.44,61379.92,400.23,32392,444,400.23,32392,422,400.23,32392,477,400.23,32392,16762
401.93,495491.98,475017.11,401.93,495491.98,454737.23,401.93,495491.98,443817.3,401.93,495491.98,467412.15,401.93,103212.77,35553.21,401.93,103212.77,19265.02,401.93,103212.77,6917.81,401.93,103212.77,62905.07,401.93,34352,470,401.93,34352,446,401.93,34352,501,401.93,34352,17564
403.64,506908.09,486355.17,403.64,506908.09,465225.99,403.64,506908.09,453316.82,403.64,506908.09,478287.67,403.64,106826.8,38577.01,403.64,106826.8,20443.65,403.64,106826.8,7177.54,403.64,106826.8,64471.5,403.64,35680,485,403.64,35680,462,403.64,35680,518,403.64,35680,17966
405.34,514984.85,493243.57,405.34,514984.85,472447.56,405.34,514984.85,460348.06,405.34,514984.85,485492.33,405.34,108719.95,41105.21,405.34,108719.95,21240.85,405.34,108719.95,7348.27,405.34,108719.95,64861.74,405.34,36848,499,405.34,36848,478,405.34,36848,533,405.34,36848,18272
