,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
170,575.77,444688.7,465299.36,420171.65,412941.88,408802.26,0.46529936,0.42017165,0.41294188,0.40880226000000003,0.42680378750000003
171,577.38,443093.44,463160.62,418377.94,411093.67,406757.12,0.46316062,0.41837794,0.41109366999999997,0.40675711999999997,0.42484733750000003
172,578.99,444900.84,465537.3,420446.93,413503.56,409105.18,0.4655373,0.42044693,0.41350356,0.40910518,0.42714824250000005
173,580.61,450181.16,470407.63,425189.15,417851.3,413221.14,0.47040763,0.42518915,0.4178513,0.41322114,0.43166730499999995
174,582.22,453135.12,473738.23,427627.78,420484.66,416220.11,0.47373823,0.42762778,0.42048465999999995,0.41622011,0.434517695
175,583.83,448884.32,468663.25,423390.3,416411.05,412144.49,0.46866325,0.4233903,0.41641105,0.41214449,0.4301522725
176,585.44,438912.4,458321.25,414291.19,407716.8,403394.99,0.45832125,0.41429119,0.4077168,0.40339499,0.4209310575
177,587.05,422759.34,441635.79,399072.27,392300.8,388274.52,0.44163579,0.39907227,0.3923008,0.38827452,0.405320845
178,588.66,390152.43,408290.5,368518.19,362051.57,358581.68,0.4082905,0.36851819,0.36205157,0.35858168,0.37436048499999997
179,590.27,398948.63,416807.24,376359.61,370433.32,366234.42,0.41680723999999997,0.37635961,0.37043332,0.36623442,0.3824586475
180,591.88,407556.51,426212.93,384694.31,378439.55,374072.01,0.42621293,0.38469431,0.37843955,0.37407201,0.3908547
181,593.49,407603.9,426061.43,384586.91,378077.34,373984.82,0.42606143,0.38458690999999995,0.37807734000000004,0.37398482,0.39067762500000003
182,595.1,409384.92,427953.87,386194.75,380005.11,375663.95,0.42795387,0.38619475,0.38000511,0.37566395,0.39245442
183,596.7,413975.3,433078.33,390840.04,384663.01,380373.4,0.43307833,0.39084004,0.38466301,0.38037340000000003,0.39723869500000003
184,598.31,416205.89,434746.1,392439.38,386132.79,381870.0,0.43474609999999997,0.39243938,0.38613279,0.38187,0.3987970675
185,599.91,418667.89,437192.49,394833.5,388002.37,383676.98,0.43719249,0.3948335,0.38800237,0.38367698,0.40092633499999997
186,601.52,419876.12,437893.82,395447.41,389309.84,385177.62,0.43789382,0.39544741,0.38930984,0.38517762,0.40195717249999996
187,603.12,427200.03,446234.0,402859.99,396721.0,392340.41,0.446234,0.40285999,0.396721,0.39234041,0.40953885
188,604.72,429860.04,448656.86,405661.49,398917.11,394576.99,0.44865686,0.40566149,0.39891710999999996,0.39457699,0.4119531125
189,606.32,429175.64,448137.23,404976.73,398225.02,394028.86,0.44813723,0.40497673,0.39822502000000004,0.39402886,0.41134195999999995
