WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
403.64,316745.53,290622.18,403.64,316745.53,358043.46,403.64,316745.53,283419.06,403.64,316745.53,305508.65,403.64,122637.84,39058.32,403.64,122637.84,23006.63,403.64,122637.84,8368.78,403.64,122637.84,64591.83,403.64,43936,533,517,547,19054
405.34,321298.37,294358.08,405.34,321298.37,363363.03,405.34,321298.37,286701.37,405.34,321298.37,309482.45,405.34,125309.17,41651.06,405.34,125309.17,23946.39,405.34,125309.17,8546.77,405.34,125309.17,64980.4,405.34,45408,550,539,568,19430
407.04,331245.63,303226.56,407.04,331245.63,374590.57,407.04,331245.63,295328.56,407.04,331245.63,319022.54,407.04,129202.36,44555.78,407.04,129202.36,25074.38,407.04,129202.36,8838.89,407.04,129202.36,66069.92,407.04,47168,569,555,587,19904
408.74,341131.29,312155.96,408.74,341131.29,386214.32,408.74,341131.29,304194.69,408.74,341131.29,328911.66,408.74,132615.29,47218.04,408.74,132615.29,26069.97,408.74,132615.29,9099.19,408.74,132615.29,67043.63,408.74,49504,593,585,617,20608
410.44,349101.76,319572.14,410.44,349101.76,396023.07,410.44,349101.76,311510.37,410.44,349101.76,336782.66,410.44,136605.72,50021.14,410.44,136605.72,27174.62,410.44,136605.72,9386.01,410.44,136605.72,68336.67,410.44,52032,621,612,640,21388
412.14,361309.72,330742.81,412.14,361309.72,410128.17,412.14,361309.72,322325.83,412.14,361309.72,348285.55,412.14,141565.38,53076.01,412.14,141565.38,28387.95,412.14,141565.38,9739.78,412.14,141565.38,70177.05,412.14,55184,658,646,683,22434
413.84,369810.67,337912.55,413.84,369810.67,419689.29,413.84,369810.67,328922.3,413.84,369810.67,356238.84,413.84,145625.18,55670.08,413.84,145625.18,29450.23,413.84,145625.18,10016.85,413.84,145625.18,71520.44,413.84,58048,690,677,714,23364
415.53,376764.26,344027.76,415.53,376764.26,427930.81,415.53,376764.26,334938.96,415.53,376764.26,362541.97,415.53,147752.05,57447.56,415.53,147752.05,29993.92,415.53,147752.05,10150.67,415.53,147752.05,71950,415.53,60928,723,709,751,24256
417.23,380834.36,347618.73,417.23,380834.36,432948.53,417.23,380834.36,338292.17,417.23,380834.36,366517.28,417.23,149501.05,58777.33,417.23,149501.05,30541.16,417.23,149501.05,10289.07,417.23,149501.05,72172.57,417.23,63520,752,737,785,25042
418.92,382095.38,349097.31,418.92,382095.38,435082.66,418.92,382095.38,339499.32,418.92,382095.38,368055.34,418.92,149521.22,59321.13,418.92,149521.22,30645.03,418.92,149521.22,10258.87,418.92,149521.22,71583.04,418.92,65920,777,763,812,25694
420.61,383697.25,350288.67,420.61,383697.25,436934.96,420.61,383697.25,340721.31,420.61,383697.25,369269.07,420.61,150819.56,60255.48,420.61,150819.56,30993.97,420.61,150819.56,10344.81,420.61,150819.56,71611.68,420.61,68096,801,785,834,26296
422.3,382359.41,348936.12,422.3,382359.41,435866.99,422.3,382359.41,339310.82,422.3,382359.41,368035.14,422.3,150603.26,60465.8,422.3,150603.26,30981.24,422.3,150603.26,10303.69,422.3,150603.26,70886.43,422.3,69200,810,798,849,26440
